app-1  | timestamp=2026-01-17T09:20:02.796Z level=INFO message="Starting ChitChat server" port=8080 environment=development log_level=DEBUG
app-1  | timestamp=2026-01-17T09:20:02.796Z level=INFO message="Initializing storage..."
app-1  | timestamp=2026-01-17T09:20:02.796Z level=INFO message="Initializing store" postgres_conn=postgres://usr-chitchat:pwd-chitchat@postgres:5432 redis_addr=redis://redis:6379
app-1  | timestamp=2026-01-17T09:20:02.799Z level=INFO message="PostgreSQL connection successful" attempt=1
app-1  | timestamp=2026-01-17T09:20:02.799Z level=DEBUG message="PostgreSQL connection pool configured" max_open_conns=25 max_idle_conns=5 conn_max_lifetime=5m
app-1  | timestamp=2026-01-17T09:20:02.799Z level=INFO message="Initializing Redis connection" component=redis url=redis://redis:6379
app-1  | timestamp=2026-01-17T09:20:02.799Z level=DEBUG message="Redis client configured" component=redis pool_size=100 min_idle_conns=10 max_retries=3 dial_timeout=5s read_timeout=3s write_timeout=3s pool_timeout=4s use_tls=false
app-1  | timestamp=2026-01-17T09:20:02.800Z level=INFO message="Redis connected successfully" component=redis connection_time=379.041µs address=redis:6379 database=0
app-1  | timestamp=2026-01-17T09:20:02.800Z level=INFO message="Successfully connected to PostgreSQL and Redis"
app-1  | timestamp=2026-01-17T09:20:02.800Z level=INFO message="Initializing database schema..."
app-1  | timestamp=2026-01-17T09:20:02.800Z level=INFO message="Initializing database schema"
app-1  | timestamp=2026-01-17T09:20:02.840Z level=INFO message="Database schema initialized successfully"
app-1  | timestamp=2026-01-17T09:20:02.840Z level=DEBUG message="Cleanup worker started" interval=1h max_age=30d
app-1  | timestamp=2026-01-17T09:20:02.840Z level=INFO message="Initializing authentication..."
app-1  | timestamp=2026-01-17T09:20:02.840Z level=INFO message="Initializing WebSocket hub..."
app-1  | timestamp=2026-01-17T09:20:02.840Z level=DEBUG message="WebSocket hub initialized and running"
app-1  | timestamp=2026-01-17T09:20:02.840Z level=INFO message="Setting up routes..."
app-1  | timestamp=2026-01-17T09:20:02.841Z level=DEBUG message="Static file server configured" path=/static/
app-1  | timestamp=2026-01-17T09:20:02.841Z level=DEBUG message="Swagger UI configured" path=/swagger/
app-1  | timestamp=2026-01-17T09:20:02.841Z level=INFO message="Starting cleanup worker" interval=1h0m0s max_age=720h0m0s
app-1  | timestamp=2026-01-17T09:20:02.841Z level=INFO message="WebSocket hub started"
app-1  | timestamp=2026-01-17T09:20:02.841Z level=DEBUG message="WebSocket endpoint configured" path=/ws
app-1  | timestamp=2026-01-17T09:20:02.841Z level=DEBUG message="Public authentication endpoints configured" endpoints="[/api/auth/register /api/auth/login /api/auth/refresh]"
app-1  | timestamp=2026-01-17T09:20:02.841Z level=INFO message="API routes configured" auth_endpoints=2 user_endpoints=8 contact_endpoints=3 chat_endpoints=14 message_endpoints=7
app-1  | timestamp=2026-01-17T09:20:02.841Z level=DEBUG message="SPA catch-all route configured" serve_from=./static/index.html
app-1  | timestamp=2026-01-17T09:20:02.841Z level=INFO message="ChitChat server starting" address=:8080 read_timeout=15s write_timeout=15s idle_timeout=1m0s
app-1  | timestamp=2026-01-17T09:20:02.841Z level=INFO message="Server is ready to accept connections"
app-1  | timestamp=2026-01-17T09:20:02.841Z level=INFO message="Listening for Redis Pub/Sub messages"
app-1  | timestamp=2026-01-17T09:21:26.681Z level=DEBUG message="HTTP request received" method=POST path=/api/auth/register remote_addr=172.30.0.1:37500 user_agent=curl/8.7.1 query=""
app-1  | timestamp=2026-01-17T09:21:26.681Z level=INFO message="Register: processing registration" phone=1111111111 name=Alice
app-1  | timestamp=2026-01-17T09:21:26.681Z level=DEBUG message="Getting user by phone" phone=1111111111
app-1  | timestamp=2026-01-17T09:21:26.682Z level=DEBUG message="User not found by phone" phone=1111111111
app-1  | timestamp=2026-01-17T09:21:26.682Z level=INFO message="Creating user" phone=1111111111 name=Alice
app-1  | timestamp=2026-01-17T09:21:26.683Z level=INFO message="User created successfully" user_id=3046f7a6-7e3f-46e0-93b9-ed3f7832f554 phone=1111111111
app-1  | timestamp=2026-01-17T09:21:26.683Z level=INFO message="Register: new user created" user_id=3046f7a6-7e3f-46e0-93b9-ed3f7832f554 phone=1111111111 name=Alice
app-1  | timestamp=2026-01-17T09:21:26.683Z level=DEBUG message="Register: creating user session" user_id=3046f7a6-7e3f-46e0-93b9-ed3f7832f554 session_id=3e66df62-e2d9-43e6-9121-24db32942060 device=curl/8.7.1 ip=172.30.0.1
